Blues
Maalivahdit 		O 	LPP 	Arvo 
Kluuskeri Niko-Petteri 	0 	0 	150 000
Nordlund Markus 	20 	79 	270 000
Palmroth Markus 	0 	0 	150 000
Skalberg Jens 		7 	19 	265 000
Sweatt Lee 		12 	130 	450 000
Vittasmaki Veli-Matti 	15 	63 	230 000
Hyokkaajat 		O 	LPP 	Arvo 
Birner Michal 		20 	144 	425 000
Erkinjuntti Antti 	19 	124 	400 000
Filppula Ilari 		20 	153 	435 000
Hattunen Jarkko 	11 	11 	200 000
Hamalainen Aatu 	20 	67 	285 000
Jalo Toni 		0 	0 	150 000
Kokkala Lassi 		20 	33 	175 000
Kolu Max 		19 	58 	190 000
Laine Mikko 		0 	0 	150 000
Makinen Marko 		18 	47 	185 000
Plihal Tomas 		18 	182 	440 000
Radja Mike 		0 	0 	150 000
Reivonen Antti 		11 	20 	160 000
Suominen Tuomas 	13 	27 	375 000
Urpo Antti 		0 	0 	150 000
Uusikartano Aki 	19 	60 	345 000
Vahalahti Ville 	19 	144 	420 000
Venalainen Sami 	13 	65 	250 000
Virtala Marko 		14 	42 	260 000
Assat
Assat
Maalivahdit 		O 	LPP 	Arvo 
Jarvenpaa Juha 		0 	0 	150 000
Kilpelainen Eero 	6 	29 	270 000
Rynnas Jussi 		17 	220 	375 000
Puolustajat 		O 	LPP 	Arvo 
Heikkinen Jussi 	0 	0 	150 000
Jyrkkio Jesse 		18 	106 	325 000
Kudroc Kristian 	7 	64 	300 000
Kuusisto Matti 		16 	59 	260 000
Milam Troy 		19 	98 	290 000
Maatta Tero 		21 	102 	300 000
Palomaki Mikko 		1 	-1 	150 000
Rahkola Miro 		0 	0 	150 000
Sammalkangas Tapio 	17 	42 	270 000
Stenroos Niklas 	0 	0 	150 000
Taimi Tommi 		0 	0 	150 000
Uusitalo Ville 		20 	100 	150 000
Hyokkaajat 		O 	LPP 	Arvo 
Forsbacka Patrik 	11 	24 	215 000
Huhtala Tommi 		20 	134 	380 000
Huhtanen Tuomas 	20 	100 	315 000
Kivenmaki Marko 	21 	173 	440 000
Kuparinen Matti 	13 	41 	300 000
Laaksonen Jesse 	9 	24 	195 000
Laukkanen Tuomo 	1 	0 	150 000
Luomala Marko 		21 	168 	425 000
Makila Antti 		19 	49 	275 000
Niemi Mika 		21 	114 	390 000
Palonen Niko 		2 	2 	150 000
Pellinen Ossi 		7 	38 	170 000
Piros Kamil 		0 	0 	150 000
Salminen Sakari 	17 	114 	350 000
Savinainen Veli-Matti 	21 	77 	270 000
Sillanpaa Severi 	21 	40 	285 000
Uusitalo Antti 		0 	0 	150 000
Zaborsky Tomas 		20 	126 	370 000
