HIFK
Maalivahdit 	  	O 	V 	H 	TP 	PM 	TO 	NP 	M 	S 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	  	Arvo 	 
Rissanen Jaakko 		5 	0 	0 	0 	0 	0 	0 	6 	3 	2 	2 	0 	0 	0 	0 	10 	262 500 	
Sahlstedt Kalle 		12 	0 	2 	0 	0 	0 	0 	16 	7 	7 	4 	0 	0 	0 	0 	28 	439 000 	
Salo Timo 		7 	0 	0 	0 	0 	0 	0 	8 	1 	3 	2 	0 	0 	0 	0 	7 	264 000 	
Karpat
Karpat
Maalivahdit 	  	O 	V 	H 	TP 	PM 	TO 	NP 	M 	S 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	  	Arvo 	 
Karhunen Tomi 		7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		153 000 	
Koivisto Petri 		7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		320 000 	
Rautiola Antti 		7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		153 000 	
Tarkki Tuomas 		7 	3 	4 	0 	13 	249 	1 	0 	0 	0 	0 	0 	2 	1 	93 		457 000 	
Puolustajat 	  	O 	M 	S 	AV 	VM 	TM 	JA 	L 	+ 	- 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	Arvo 	 
Aalto Teemu 		7 	0 	1 	0 	0 	0 	0 	30 	3 	2 	8 	0 	0 	0 	0 	35 	383 500 	
Jokinen Juho 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	250 000 	
Jushkevitsh Dmitri 		5 	0 	2 	0 	0 	0 	0 	11 	4 	1 	4 	0 	0 	0 	0 	29 	315 500 	
Korpikari Oskari 		7 	0 	1 	0 	0 	0 	0 	7 	3 	1 	6 	0 	0 	0 	0 	22 	288 500 	
Lehtonen Mikko 		7 	1 	1 	0 	0 	0 	0 	40 	2 	3 	6 	0 	0 	0 	0 	44 	398 000 	
Liljeblad Joni 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	151 500 	
Mikkola Ilkka 		7 	0 	3 	0 	0 	0 	0 	20 	3 	4 	8 	0 	0 	1 	0 	42 	402 500 	
Niemela Mikko 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	151 500 	
Ohtamaa Atte 		3 	0 	0 	0 	0 	0 	0 	6 	0 	1 	2 	0 	0 	0 	0 	5 	190 500 	
Ylonen Antti 		6 	0 	0 	0 	0 	0 	0 	17 	3 	2 	8 	0 	0 	0 	0 	23 	231 500 	
Hyokkaajat 	  	O 	M 	S 	AV 	VM 	TM 	JA 	L 	+ 	- 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	Arvo 	 
Aarnio Antti 		5 	0 	0 	0 	0 	0 	0 	6 	0 	0 	6 	0 	0 	0 	0 	10 	205 500 	
Alikoski Mikko 		7 	1 	0 	0 	1 	0 	0 	12 	2 	1 	0 	0 	0 	0 	0 	19 	190 000 	
Donskoi Joonas 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	190 000 	
Junttila Julius 		2 	0 	1 	0 	0 	0 	0 	1 	1 	2 	0 	0 	1 	0 	0 	6 	190 000 	
Karppinen Veikko 		1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	186 500 	
Kaspar Lukas 		7 	1 	3 	0 	1 	0 	1 	38 	5 	3 	2 	0 	0 	1 	0 	53 	373 500 	
Keranen Juho 		3 	1 	0 	0 	0 	0 	0 	5 	1 	0 	27 	0 	0 	1 	0 	7 	179 000 	
Kiilholma Juha 		7 	1 	0 	0 	0 	0 	0 	13 	3 	1 	36 	0 	1 	0 	0 	12 	230 500 	
Komulainen Joonas 		4 	0 	0 	0 	0 	0 	0 	6 	1 	3 	4 	0 	0 	0 	0 	6 	160 000 	
Koskenkorva Kimmo 		4 	0 	0 	0 	0 	0 	0 	9 	0 	0 	2 	0 	0 	0 	0 	7 	305 500 	
Kuusela Kristian 		7 	0 	1 	0 	0 	0 	0 	37 	1 	2 	2 	0 	0 	0 	0 	26 	392 000 	
Normio Teemu 		7 	0 	0 	0 	0 	0 	0 	12 	1 	1 	4 	0 	0 	0 	0 	14 	262 500 	
Rosa Pavel 		7 	2 	3 	0 	1 	0 	1 	33 	6 	2 	16 	0 	0 	0 	2 	62 	450 500 	
Saarenheimo Pekka 		7 	0 	0 	0 	0 	0 	0 	20 	1 	2 	4 	0 	0 	0 	0 	15 	206 000 	
Viinanen Mika 		7 	4 	0 	0 	0 	0 	0 	24 	5 	1 	8 	0 	0 	0 	0 	55 	338 000 	
Viitakoski Vesa 		7 	1 	0 	0 	0 	0 	0 	13 	1 	3 	0 	0 	0 	0 	0 	13 	297 500 	
Viuhkola Jari 		2 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	1 	398 000 	
Lukko
Lukko
